# ADC dogrusallik supurmesi — 2026-09-12, kartta olculdu
# Kaynak: CAL (GPIO10) PWM 20 kHz, 10 bit gorev + 2 kademe RC (10K/100nF x2)
# Okuma: GPIO4 (ADC1_CH3, ATTEN_DB_12), tb3 -> 833 ornek ortalamasi
# kalibre_mv: Espressif eFuse egri semasi (adc_cali_raw_to_voltage)
gorev_promil,ham_kod_ort,ham_std,ornek,kalibre_mv
0,0.00,0.00,833,0
10,9.76,1.62,833,8
20,42.00,8.67,833,38
30,86.20,1.76,833,78
40,122.20,1.54,833,110
50,159.13,2.31,833,143
60,200.00,1.59,833,181
70,237.65,1.84,833,214
80,283.05,29.33,833,253
90,311.69,1.52,833,279
100,349.99,1.98,833,311
110,392.16,1.82,833,348
120,428.29,1.50,833,379
130,465.23,2.27,833,411
140,502.03,1.60,833,442
150,540.24,1.60,833,476
160,582.91,6.28,833,513
170,619.33,1.42,833,541
180,657.73,2.27,833,575
190,691.52,1.86,833,604
200,733.63,2.05,833,639
210,769.37,3.55,833,668
220,807.78,1.56,833,702
230,847.07,2.12,833,735
240,885.75,1.49,833,766
250,924.42,1.64,833,799
260,959.86,2.90,833,828
270,997.26,1.79,833,859
280,1036.92,1.65,833,893
290,1078.55,1.67,833,928
300,1115.76,1.38,833,959
310,1145.61,26.46,833,982
320,1191.74,1.66,833,1022
330,1231.22,2.25,833,1054
340,1271.39,1.92,833,1088
350,1312.17,2.61,833,1122
360,1353.28,1.51,833,1157
370,1392.26,7.27,833,1188
380,1432.63,1.79,833,1223
390,1470.55,2.79,833,1255
400,1509.71,1.53,833,1289
410,1552.07,2.43,833,1323
420,1594.58,1.64,833,1357
430,1631.03,2.23,833,1388
440,1671.18,1.77,833,1422
450,1707.54,1.61,833,1454
460,1750.26,5.27,833,1488
470,1787.66,3.88,833,1521
480,1830.21,1.52,833,1555
490,1868.15,1.83,833,1588
500,1910.08,1.37,833,1624
510,1948.50,1.61,833,1656
520,1983.48,2.77,833,1684
530,2024.60,1.47,833,1719
540,2067.84,1.82,833,1756
550,2105.99,1.68,833,1789
560,2146.89,2.21,833,1821
570,2185.28,1.43,833,1854
580,2217.76,1.50,833,1882
590,2264.45,1.73,833,1920
600,2302.56,2.66,833,1953
610,2344.01,1.54,833,1987
620,2381.32,1.68,833,2017
630,2419.36,1.94,833,2048
640,2463.25,2.33,833,2085
650,2500.36,2.92,833,2116
660,2538.57,1.52,833,2148
670,2582.39,1.38,833,2183
680,2621.94,2.17,833,2215
690,2661.64,3.39,833,2249
700,2701.51,1.68,833,2280
710,2738.62,5.88,833,2309
720,2786.34,2.58,833,2347
730,2828.05,1.72,833,2379
740,2862.21,2.59,833,2407
750,2908.56,1.83,833,2443
760,2950.13,4.51,833,2475
770,2994.39,3.01,833,2507
780,3041.12,4.12,833,2544
790,3088.93,2.76,833,2580
800,3130.84,2.17,833,2611
810,3182.41,2.41,833,2648
820,3227.60,1.69,833,2681
830,3276.12,2.01,833,2713
840,3326.31,3.18,833,2748
850,3383.35,2.15,833,2787
860,3432.02,3.04,833,2820
870,3490.34,3.27,833,2856
880,3542.48,13.00,833,2888
890,3604.22,3.46,833,2925
900,3667.66,3.05,833,2962
910,3731.33,11.42,833,2997
920,3793.22,3.85,833,3031
930,3854.87,3.49,833,3060
940,3922.70,3.90,833,3092
950,3994.81,3.48,833,3121
960,4063.66,3.92,833,3149
970,4095.00,0.00,833,3160
980,4095.00,0.00,833,3160
990,4095.00,0.00,833,3160
1000,4095.00,0.00,833,3160
