# ADC dogrusallik supurmesi — 2026-09-13, kartta olculdu
# Kaynak: CAL (GPIO10) PWM 20 kHz, 10 bit gorev + 2 kademe RC (10K/100nF x2)
# GPIO4: skop yakalamasi (tb3, 833 ornek) VE wR (300 ornek); GPIO5: wR (300 ornek)
# kalibre_mv: Espressif eFuse egri semasi (adc_cali_raw_to_voltage)
# Uretici: uretim/tezgah_adc_supur.py
gorev_promil,gpio4_skop_ort,gpio4_skop_std,gpio4_skop_n,gpio4_wr_ort,gpio4_wr_min,gpio4_wr_max,gpio4_kalibre_mv,gpio5_wr_ort,gpio5_wr_min,gpio5_wr_max,gpio5_kalibre_mv,gpio5_durum,gpio5_wr_yayilim,cekme_v_yuzde,cekme_i_yuzde
0,0.00,0.00,833,0.00,0,0,0,0.00,0,0,0,surulu,0,58,58
10,9.68,1.71,833,11.07,2,20,8,10.36,4,19,8,surulu,15,58,58
20,44.55,1.81,833,43.92,37,52,40,43.69,37,55,40,surulu,18,58,58
30,86.13,1.87,833,87.44,75,94,78,87.31,79,104,79,surulu,25,59,59
40,122.27,1.53,833,120.30,107,132,110,119.77,104,127,108,surulu,23,59,59
50,159.28,2.39,833,159.03,147,167,143,158.16,142,167,142,surulu,25,59,59
60,200.99,2.21,833,199.31,189,211,181,198.80,187,204,180,surulu,17,59,59
70,237.05,1.84,833,236.74,229,251,213,236.52,229,252,213,surulu,23,59,59
80,274.01,2.41,833,273.96,256,278,245,273.59,264,282,245,surulu,18,60,60
90,311.71,2.69,833,314.12,303,367,279,315.18,304,396,281,surulu,92,60,60
100,352.77,3.03,833,350.14,341,357,314,349.66,342,359,311,surulu,17,60,60
110,392.54,1.77,833,392.61,381,405,348,392.41,379,407,348,surulu,28,60,60
120,428.27,6.76,833,427.70,415,440,379,427.31,419,441,378,surulu,22,60,60
130,469.64,9.55,833,463.88,457,472,415,463.67,454,473,410,surulu,19,60,60
140,502.86,1.74,833,502.26,493,509,444,502.13,493,507,442,surulu,14,60,60
150,541.48,1.98,833,538.65,525,552,477,538.09,522,551,473,surulu,29,61,61
160,583.26,2.08,833,583.90,573,591,513,583.66,575,589,513,surulu,14,61,61
170,621.39,1.99,833,619.39,613,623,543,619.29,613,626,541,surulu,13,61,61
180,658.61,2.35,833,657.55,651,665,576,656.97,648,663,574,surulu,15,61,61
190,693.50,1.89,833,692.38,681,697,606,692.60,685,702,605,surulu,17,61,61
200,734.84,2.34,833,733.53,725,743,640,733.34,725,741,638,surulu,16,61,61
210,774.53,5.40,833,771.01,758,779,674,771.06,763,779,671,surulu,16,61,61
220,811.16,1.84,833,809.32,805,814,704,808.97,797,814,703,surulu,17,61,61
230,850.08,2.72,833,845.52,831,871,737,845.05,826,855,733,surulu,29,61,61
240,887.79,1.71,833,886.09,879,892,769,886.01,878,893,766,surulu,15,61,61
250,925.83,1.94,833,923.64,915,935,800,923.26,915,933,797,surulu,18,61,61
260,965.04,2.45,833,960.90,953,973,833,961.07,951,970,829,surulu,19,62,62
270,998.88,1.77,833,1000.55,990,1063,861,1005.05,991,1174,865,surulu,183,62,62
280,1041.20,2.46,833,1038.13,1033,1047,897,1038.02,1032,1045,894,surulu,13,62,62
290,1081.51,1.55,833,1080.42,1075,1087,931,1080.20,1071,1087,928,surulu,16,62,62
300,1117.61,2.03,833,1116.15,1110,1127,960,1116.00,1109,1133,959,surulu,24,62,62
310,1160.20,1.74,833,1156.85,1147,1187,996,1155.72,1140,1173,992,surulu,33,62,62
320,1195.84,1.72,833,1192.53,1174,1198,1025,1192.40,1183,1206,1022,surulu,23,62,62
330,1237.88,1.93,833,1236.20,1229,1242,1061,1236.10,1228,1241,1058,surulu,13,62,62
340,1272.84,13.77,833,1273.58,1267,1279,1089,1273.58,1262,1285,1091,surulu,23,62,62
350,1318.38,1.60,833,1314.58,1305,1321,1127,1314.53,1309,1321,1125,surulu,12,62,62
360,1358.18,2.36,833,1353.78,1341,1363,1160,1353.77,1343,1365,1157,surulu,22,62,62
370,1398.92,1.84,833,1395.28,1387,1402,1194,1395.21,1387,1401,1191,surulu,14,62,62
380,1435.41,1.73,833,1432.16,1426,1442,1225,1431.97,1421,1439,1222,surulu,18,63,63
390,1477.01,3.34,833,1470.42,1465,1481,1260,1470.20,1465,1483,1254,surulu,18,63,63
400,1511.48,2.14,833,1511.97,1503,1517,1289,1511.73,1491,1523,1289,surulu,32,63,63
410,1556.43,1.66,833,1551.22,1543,1581,1325,1550.83,1545,1574,1323,surulu,29,63,63
420,1597.07,1.75,833,1594.44,1589,1605,1361,1594.28,1588,1605,1358,surulu,17,63,63
430,1637.68,1.97,833,1633.90,1627,1641,1395,1633.88,1625,1641,1392,surulu,16,63,63
